,time,rank,artist,song,sales
1581,04/03/2017 04:38,10,The Chainsmokers & Coldplay,Something Just Like This,8349
1582,04/03/2017 05:08,10,The Chainsmokers & Coldplay,Something Just Like This,8532
1583,04/03/2017 05:38,10,The Chainsmokers & Coldplay,Something Just Like This,8415
1584,04/03/2017 06:08,10,The Chainsmokers & Coldplay,Something Just Like This,8676
1585,04/03/2017 06:38,10,The Chainsmokers & Coldplay,Something Just Like This,8660
1586,04/03/2017 07:09,10,The Chainsmokers & Coldplay,Something Just Like This,8289
1587,04/03/2017 07:39,10,The Chainsmokers & Coldplay,Something Just Like This,8274
1588,04/03/2017 08:09,10,The Chainsmokers & Coldplay,Something Just Like This,8260
1589,04/03/2017 08:39,10,The Chainsmokers & Coldplay,Something Just Like This,8246
1590,04/03/2017 09:09,10,The Chainsmokers & Coldplay,Something Just Like This,8206
1591,04/03/2017 09:39,10,The Chainsmokers & Coldplay,Something Just Like This,8220
1592,04/03/2017 10:09,10,The Chainsmokers & Coldplay,Something Just Like This,8415
1593,04/03/2017 10:39,10,The Chainsmokers & Coldplay,Something Just Like This,8402
1594,04/03/2017 11:09,10,The Chainsmokers & Coldplay,Something Just Like This,8390
1595,04/03/2017 11:39,10,The Chainsmokers & Coldplay,Something Just Like This,8189
1596,04/03/2017 12:09,10,The Chainsmokers & Coldplay,Something Just Like This,8367
1597,04/03/2017 12:39,10,The Chainsmokers & Coldplay,Something Just Like This,8167
1598,04/03/2017 13:09,10,The Chainsmokers & Coldplay,Something Just Like This,8156
1599,04/03/2017 13:39,10,The Chainsmokers & Coldplay,Something Just Like This,8289
1600,04/03/2017 14:09,10,The Chainsmokers & Coldplay,Something Just Like This,8279
1601,04/03/2017 14:39,10,The Chainsmokers & Coldplay,Something Just Like This,8269
1602,04/03/2017 15:09,10,The Chainsmokers & Coldplay,Something Just Like This,8259
